Title,Genre,ReleaseYear,ArtistName
Album_169,Jazz,1983,Artist_169
Album_170,Rock,1984,Artist_170
Album_171,Hip Hop,1987,Artist_171
Album_172,Pop,1978,Artist_172
Album_173,Hip Hop,2000,Artist_173
Album_174,Rock,2000,Artist_174
Album_175,Pop,2002,Artist_175
Album_176,Rock,1969,Artist_176
Album_177,Rock,1974,Artist_177
Album_178,Rock,2011,Artist_178
Album_179,Rock,2010,Artist_179
Album_180,Pop,2018,Artist_180
Album_181,Classical,2010,Artist_181
Album_182,Pop,2017,Artist_182
Album_183,Electronic,2010,Artist_183
Album_184,Hip Hop,2004,Artist_184
Album_185,Jazz,2002,Artist_185
Album_186,Hip Hop,2005,Artist_186
Album_187,Hip Hop,1996,Artist_187
Album_188,Pop,1988,Artist_188
Album_189,Hip Hop,2005,Artist_189
Album_190,Electronic,1986,Artist_190
Album_191,Hip Hop,1968,Artist_191
Album_192,Electronic,1998,Artist_192
Album_193,Pop,1987,Artist_193
Album_194,Electronic,1997,Artist_194
Album_195,Jazz,2005,Artist_195
Album_196,Hip Hop,2007,Artist_196
Album_197,Jazz,1973,Artist_197
Album_198,Jazz,1961,Artist_198
Album_199,Rock,1966,Artist_199
Album_200,Jazz,2007,Artist_200
Album_201,Jazz,2001,Artist_201
Album_202,Rock,1995,Artist_202
Album_203,Hip Hop,1992,Artist_203
Album_204,Jazz,2017,Artist_204
Album_205,Rock,1960,Artist_205
Album_206,Hip Hop,2001,Artist_206
Album_207,Pop,1983,Artist_207
Album_208,Jazz,1983,Artist_208
Album_209,Jazz,2000,Artist_209
Album_210,Rock,1980,Artist_210
Album_211,Classical,1970,Artist_211
Album_212,Hip Hop,1989,Artist_212
Album_213,Jazz,2009,Artist_213
Album_214,Jazz,2010,Artist_214
Album_215,Rock,1969,Artist_215
Album_216,Hip Hop,1992,Artist_216
Album_217,Pop,1986,Artist_217
Album_218,Classical,1961,Artist_218
Album_219,Pop,1998,Artist_219
Album_220,Hip Hop,2001,Artist_220
Album_221,Rock,1963,Artist_221
Album_222,Rock,2017,Artist_222
Album_223,Classical,1995,Artist_223
Album_224,Classical,1961,Artist_224
Album_225,Jazz,1986,Artist_225
Album_226,Classical,1978,Artist_226
Album_227,Pop,2013,Artist_227
Album_228,Electronic,1967,Artist_228
Album_229,Electronic,1995,Artist_229
Album_230,Hip Hop,2011,Artist_230
Album_231,Pop,2002,Artist_231
Album_232,Hip Hop,2003,Artist_232
Album_233,Classical,2023,Artist_233
Album_234,Jazz,1964,Artist_234
Album_235,Pop,1960,Artist_235
Album_236,Electronic,1993,Artist_236
Album_237,Electronic,1974,Artist_237
Album_238,Hip Hop,1984,Artist_238
Album_239,Pop,2002,Artist_239
Album_240,Classical,1967,Artist_240
Album_241,Hip Hop,1981,Artist_241
Album_242,Jazz,1986,Artist_242
Album_243,Hip Hop,1976,Artist_243
Album_244,Electronic,2018,Artist_244
Album_245,Hip Hop,1964,Artist_245
Album_246,Classical,1978,Artist_246
Album_247,Rock,1969,Artist_247
Album_248,Rock,2023,Artist_248
Album_249,Classical,1994,Artist_249
Album_250,Rock,1967,Artist_250
Album_251,Rock,1972,Artist_251
Album_252,Hip Hop,1969,Artist_252
Album_253,Jazz,2018,Artist_253
Album_254,Jazz,1983,Artist_254
Album_255,Classical,2004,Artist_255
Album_256,Jazz,2008,Artist_256
Album_257,Classical,2006,Artist_257
Album_258,Hip Hop,2013,Artist_258
Album_259,Hip Hop,1972,Artist_259
Album_260,Electronic,1963,Artist_260
Album_261,Rock,1991,Artist_261
Album_262,Pop,1964,Artist_262
Album_263,Pop,1991,Artist_263
Album_264,Rock,1989,Artist_264
Album_265,Hip Hop,1971,Artist_265
Album_266,Classical,1996,Artist_266
Album_267,Jazz,2014,Artist_267
Album_268,Jazz,2012,Artist_268
Album_269,Hip Hop,1964,Artist_269
Album_270,Electronic,2004,Artist_270
Album_271,Hip Hop,1986,Artist_271
Album_272,Rock,1976,Artist_272
Album_273,Pop,1971,Artist_273
Album_274,Jazz,1997,Artist_274
Album_275,Jazz,2016,Artist_275
Album_276,Hip Hop,1963,Artist_276
Album_277,Electronic,1962,Artist_277
Album_278,Pop,1972,Artist_278
Album_279,Electronic,2003,Artist_279
Album_280,Hip Hop,1960,Artist_280
Album_281,Rock,1970,Artist_281
Album_282,Hip Hop,2014,Artist_282
Album_283,Electronic,1961,Artist_283
Album_284,Rock,2010,Artist_284
Album_285,Rock,2019,Artist_285
Album_286,Pop,2019,Artist_286
Album_287,Pop,2003,Artist_287
Album_288,Hip Hop,1966,Artist_288
Album_289,Rock,1992,Artist_289
Album_290,Jazz,2016,Artist_290
Album_291,Pop,1989,Artist_291
Album_292,Jazz,1974,Artist_292
Album_293,Rock,1983,Artist_293
Album_294,Pop,2013,Artist_294
Album_295,Pop,1996,Artist_295
Album_296,Hip Hop,1960,Artist_296
Album_297,Classical,2016,Artist_297
Album_298,Pop,1982,Artist_298
Album_299,Jazz,1983,Artist_299
Album_300,Jazz,1999,Artist_300
Album_301,Pop,1995,Artist_301
Album_302,Pop,2004,Artist_302
Album_303,Pop,1960,Artist_303
Album_304,Classical,1983,Artist_304
Album_305,Classical,1960,Artist_305
Album_306,Jazz,1967,Artist_306
Album_307,Rock,1997,Artist_307
Album_308,Electronic,1963,Artist_308
Album_309,Electronic,1997,Artist_309
Album_310,Electronic,1974,Artist_310
Album_311,Classical,1965,Artist_311
Album_312,Hip Hop,2001,Artist_312
Album_313,Electronic,1997,Artist_313
Album_314,Jazz,1977,Artist_314
Album_315,Jazz,2011,Artist_315
Album_316,Hip Hop,1978,Artist_316
Album_317,Pop,1979,Artist_317
Album_318,Classical,1970,Artist_318
Album_319,Hip Hop,1999,Artist_319
Album_320,Jazz,2006,Artist_320
Album_321,Jazz,2003,Artist_321
Album_322,Pop,1961,Artist_322
Album_323,Hip Hop,2004,Artist_323
Album_324,Electronic,1974,Artist_324
Album_325,Rock,2014,Artist_325
Album_326,Jazz,1985,Artist_326
Album_327,Rock,1967,Artist_327
Album_328,Hip Hop,2008,Artist_328
Album_329,Hip Hop,2004,Artist_329
Album_330,Pop,1964,Artist_330
Album_331,Rock,2012,Artist_331
Album_332,Jazz,2015,Artist_332
Album_333,Hip Hop,2013,Artist_333
Album_334,Hip Hop,2004,Artist_334
Album_335,Rock,2013,Artist_335
Album_336,Jazz,1966,Artist_336
Album_337,Classical,1988,Artist_337
Album_338,Rock,1966,Artist_338
Album_339,Classical,1996,Artist_339
Album_340,Jazz,2020,Artist_340
Album_341,Electronic,2000,Artist_341
Album_342,Classical,1980,Artist_342
Album_343,Hip Hop,2016,Artist_343
Album_344,Electronic,1973,Artist_344
Album_345,Classical,1970,Artist_345
Album_346,Electronic,2001,Artist_346
Album_347,Electronic,1972,Artist_347
Album_348,Pop,1981,Artist_348
Album_349,Classical,1986,Artist_349
Album_350,Hip Hop,2012,Artist_350
Album_351,Hip Hop,1990,Artist_351
Album_352,Hip Hop,2007,Artist_352
Album_353,Classical,2022,Artist_353
Album_354,Jazz,2011,Artist_354
Album_355,Jazz,2007,Artist_355
Album_356,Hip Hop,2014,Artist_356
Album_357,Rock,1983,Artist_357
Album_358,Rock,2007,Artist_358
Album_359,Hip Hop,1997,Artist_359
Album_360,Jazz,1961,Artist_360
Album_361,Pop,1982,Artist_361
Album_362,Hip Hop,1994,Artist_362
Album_363,Hip Hop,1987,Artist_363
Album_364,Pop,1964,Artist_364
Album_365,Pop,1974,Artist_365
Album_366,Electronic,1974,Artist_366
Album_367,Electronic,1973,Artist_367
Album_368,Rock,1989,Artist_368
Album_369,Classical,2019,Artist_369
Album_370,Pop,1988,Artist_370
Album_371,Jazz,1977,Artist_371
Album_372,Hip Hop,2011,Artist_372
Album_373,Electronic,2007,Artist_373
Album_374,Jazz,1975,Artist_374
Album_375,Pop,1995,Artist_375
Album_376,Pop,2006,Artist_376
Album_377,Jazz,2002,Artist_377
Album_378,Rock,1970,Artist_378
Album_379,Pop,1988,Artist_379
Album_380,Classical,1973,Artist_380
Album_381,Hip Hop,1988,Artist_381
Album_382,Electronic,2010,Artist_382
Album_383,Jazz,2016,Artist_383
Album_384,Rock,2010,Artist_384
Album_385,Classical,1997,Artist_385
Album_386,Electronic,2014,Artist_386
Album_387,Jazz,2004,Artist_387
Album_388,Classical,1982,Artist_388
Album_389,Electronic,1976,Artist_389
Album_390,Electronic,2008,Artist_390
Album_391,Hip Hop,1979,Artist_391
Album_392,Jazz,2000,Artist_392
Album_393,Classical,1979,Artist_393
Album_394,Classical,2007,Artist_394
Album_395,Pop,1986,Artist_395
Album_396,Rock,1997,Artist_396
Album_397,Electronic,1990,Artist_397
Album_398,Classical,1982,Artist_398
Album_399,Pop,1961,Artist_399
Album_400,Classical,2006,Artist_400
Album_401,Jazz,1994,Artist_401
Album_402,Rock,1979,Artist_402
Album_403,Pop,1968,Artist_403
Album_404,Jazz,1987,Artist_404
Album_405,Hip Hop,2019,Artist_405
Album_406,Electronic,1983,Artist_406
Album_407,Pop,2015,Artist_407
Album_408,Electronic,2003,Artist_408
Album_409,Classical,2010,Artist_409
Album_410,Hip Hop,1967,Artist_410
Album_411,Hip Hop,2014,Artist_411
Album_412,Hip Hop,2012,Artist_412
Album_413,Jazz,1999,Artist_413
Album_414,Classical,1993,Artist_414
Album_415,Classical,1962,Artist_415
Album_416,Hip Hop,1982,Artist_416
Album_417,Electronic,2019,Artist_417
Album_418,Pop,1986,Artist_418
Album_419,Rock,2018,Artist_419
Album_420,Hip Hop,1984,Artist_420
Album_421,Jazz,1977,Artist_421
Album_422,Classical,1972,Artist_422
Album_423,Hip Hop,1960,Artist_423
Album_424,Rock,1962,Artist_424
Album_425,Jazz,1967,Artist_425
Album_426,Jazz,2005,Artist_426
Album_427,Jazz,1983,Artist_427
Album_428,Rock,1995,Artist_428
Album_429,Electronic,2001,Artist_429
Album_430,Jazz,1984,Artist_430
Album_431,Jazz,1988,Artist_431
Album_432,Rock,2019,Artist_432
Album_433,Classical,1968,Artist_433
Album_434,Rock,2007,Artist_434
Album_435,Electronic,1992,Artist_435
Album_436,Hip Hop,2008,Artist_436
Album_437,Rock,1988,Artist_437
Album_438,Electronic,2017,Artist_438
Album_439,Classical,1983,Artist_439
Album_440,Hip Hop,2010,Artist_440
Album_441,Pop,1993,Artist_441
Album_442,Jazz,2021,Artist_442
Album_443,Hip Hop,1960,Artist_443
Album_444,Classical,1986,Artist_444
Album_445,Hip Hop,1993,Artist_445
Album_446,Rock,2016,Artist_446
Album_447,Pop,2013,Artist_447
Album_448,Classical,1960,Artist_448
Album_449,Pop,1979,Artist_449
Album_450,Hip Hop,2000,Artist_450
Album_451,Rock,2013,Artist_451
Album_452,Hip Hop,2001,Artist_452
Album_453,Electronic,2005,Artist_453
Album_454,Jazz,1977,Artist_454
Album_455,Pop,1982,Artist_455
Album_456,Electronic,1994,Artist_456
Album_457,Pop,1975,Artist_457
Album_458,Jazz,2006,Artist_458
Album_459,Pop,1971,Artist_459
Album_460,Jazz,1989,Artist_460
Album_461,Pop,1966,Artist_461
Album_462,Rock,1977,Artist_462
Album_463,Rock,1997,Artist_463
Album_464,Electronic,1964,Artist_464
Album_465,Hip Hop,1967,Artist_465
Album_466,Classical,1972,Artist_466
Album_467,Hip Hop,1979,Artist_467
Album_468,Pop,2000,Artist_468
Album_469,Pop,2002,Artist_469
Album_470,Hip Hop,2010,Artist_470
Album_471,Pop,2007,Artist_471
Album_472,Rock,1987,Artist_472
Album_473,Jazz,2012,Artist_473
Album_474,Pop,1990,Artist_474
Album_475,Electronic,1969,Artist_475
Album_476,Electronic,1962,Artist_476
Album_477,Electronic,1965,Artist_477
Album_478,Electronic,2020,Artist_478
Album_479,Classical,2004,Artist_479
Album_480,Classical,2002,Artist_480
Album_481,Electronic,1978,Artist_481
Album_482,Classical,2018,Artist_482
Album_483,Classical,1995,Artist_483
Album_484,Pop,1966,Artist_484
Album_485,Classical,2006,Artist_485
Album_486,Pop,2002,Artist_486
Album_487,Classical,1965,Artist_487
Album_488,Hip Hop,1963,Artist_488
Album_489,Electronic,1962,Artist_489
Album_490,Jazz,1988,Artist_490
Album_491,Pop,1963,Artist_491
Album_492,Electronic,2000,Artist_492
Album_493,Hip Hop,2008,Artist_493
Album_494,Rock,1998,Artist_494
Album_495,Jazz,2005,Artist_495
Album_496,Jazz,2006,Artist_496
Album_497,Electronic,2007,Artist_497
Album_498,Hip Hop,1986,Artist_498
Album_499,Rock,1976,Artist_499
Album_500,Jazz,1970,Artist_500
Album_501,Pop,2001,Artist_501
Album_502,Pop,1984,Artist_502
Album_503,Jazz,1968,Artist_503
Album_504,Electronic,1993,Artist_504
Album_505,Hip Hop,2003,Artist_505
Album_506,Jazz,1978,Artist_506
Album_507,Pop,2000,Artist_507
Album_508,Classical,1992,Artist_508
Album_509,Rock,2006,Artist_509
Album_510,Pop,1992,Artist_510
Album_511,Electronic,1991,Artist_511
Album_512,Jazz,1981,Artist_512
Album_513,Classical,2004,Artist_513
Album_514,Hip Hop,1990,Artist_514
Album_515,Pop,1979,Artist_515
Album_516,Hip Hop,1981,Artist_516
Album_517,Pop,2001,Artist_517
Album_518,Rock,1964,Artist_518
Album_519,Jazz,1987,Artist_519
Album_520,Electronic,1983,Artist_520
Album_521,Classical,1992,Artist_521
Album_522,Rock,2018,Artist_522
Album_523,Rock,2020,Artist_523
Album_524,Electronic,1988,Artist_524
Album_525,Electronic,1979,Artist_525
Album_526,Hip Hop,1991,Artist_526
Album_527,Classical,1971,Artist_527
Album_528,Electronic,1996,Artist_528
Album_529,Electronic,1983,Artist_529
Album_530,Pop,2018,Artist_530
Album_531,Pop,1980,Artist_531
Album_532,Classical,1994,Artist_532
Album_533,Pop,1971,Artist_533
Album_534,Rock,1985,Artist_534
Album_535,Jazz,2021,Artist_535
Album_536,Jazz,2019,Artist_536
Album_537,Jazz,1989,Artist_537
Album_538,Hip Hop,1980,Artist_538
Album_539,Jazz,2014,Artist_539
Album_540,Classical,2002,Artist_540
Album_541,Classical,1974,Artist_541
Album_542,Jazz,2012,Artist_542
Album_543,Electronic,1999,Artist_543
Album_544,Hip Hop,2022,Artist_544
Album_545,Rock,1985,Artist_545
Album_546,Classical,2017,Artist_546
Album_547,Electronic,2010,Artist_547
Album_548,Jazz,2004,Artist_548
Album_549,Rock,1979,Artist_549
Album_550,Jazz,1990,Artist_550
Album_551,Electronic,1974,Artist_551
Album_552,Pop,1965,Artist_552
Album_553,Rock,1983,Artist_553
Album_554,Jazz,1995,Artist_554
Album_555,Jazz,1981,Artist_555
Album_556,Pop,1990,Artist_556
Album_557,Pop,2016,Artist_557
Album_558,Rock,1990,Artist_558
Album_559,Rock,1980,Artist_559
Album_560,Rock,1985,Artist_560
Album_561,Hip Hop,2003,Artist_561
Album_562,Hip Hop,1994,Artist_562
Album_563,Pop,1988,Artist_563
Album_564,Rock,1997,Artist_564
Album_565,Pop,1992,Artist_565
Album_566,Jazz,2014,Artist_566
Album_567,Jazz,2000,Artist_567
Album_568,Classical,2005,Artist_568
Album_569,Hip Hop,1976,Artist_569
Album_570,Classical,1978,Artist_570
Album_571,Hip Hop,1998,Artist_571
Album_572,Pop,1975,Artist_572
Album_573,Classical,2000,Artist_573
Album_574,Jazz,1991,Artist_574
Album_575,Rock,2018,Artist_575
Album_576,Classical,1976,Artist_576
Album_577,Electronic,1980,Artist_577
Album_578,Jazz,1992,Artist_578
Album_579,Rock,1981,Artist_579
Album_580,Pop,2005,Artist_580
Album_581,Jazz,1969,Artist_581
Album_582,Pop,1985,Artist_582
Album_583,Jazz,2020,Artist_583
Album_584,Jazz,1979,Artist_584
Album_585,Jazz,1998,Artist_585
Album_586,Pop,1960,Artist_586
Album_587,Jazz,1991,Artist_587
Album_588,Hip Hop,2015,Artist_588
Album_589,Jazz,1980,Artist_589
Album_590,Jazz,2023,Artist_590
Album_591,Hip Hop,2008,Artist_591
Album_592,Jazz,1981,Artist_592
Album_593,Electronic,1964,Artist_593
Album_594,Electronic,2019,Artist_594
Album_595,Hip Hop,1991,Artist_595
Album_596,Rock,1999,Artist_596
Album_597,Jazz,1977,Artist_597
Album_598,Classical,1969,Artist_598
Album_599,Hip Hop,1968,Artist_599
Album_600,Hip Hop,2010,Artist_600
Album_601,Classical,2023,Artist_601
Album_602,Jazz,2014,Artist_602
Album_603,Jazz,1978,Artist_603
Album_604,Rock,1977,Artist_604
Album_605,Rock,1984,Artist_605
Album_606,Electronic,1988,Artist_606
Album_607,Electronic,2018,Artist_607
Album_608,Rock,1979,Artist_608
Album_609,Classical,2003,Artist_609
Album_610,Jazz,1979,Artist_610
Album_611,Electronic,1981,Artist_611
Album_612,Hip Hop,1971,Artist_612
Album_613,Pop,1989,Artist_613
Album_614,Rock,1960,Artist_614
Album_615,Pop,1964,Artist_615
Album_616,Classical,2001,Artist_616
Album_617,Jazz,1977,Artist_617
Album_618,Jazz,2021,Artist_618
Album_619,Jazz,1997,Artist_619
Album_620,Pop,1993,Artist_620
Album_621,Electronic,1978,Artist_621
Album_622,Jazz,1968,Artist_622
Album_623,Rock,2014,Artist_623
Album_624,Pop,1992,Artist_624
Album_625,Hip Hop,1992,Artist_625
Album_626,Electronic,1963,Artist_626
Album_627,Rock,1997,Artist_627
Album_628,Pop,1968,Artist_628
Album_629,Hip Hop,2011,Artist_629
Album_630,Rock,1989,Artist_630
Album_631,Hip Hop,1985,Artist_631
Album_632,Electronic,1974,Artist_632
Album_633,Electronic,1964,Artist_633
Album_634,Pop,1980,Artist_634
Album_635,Jazz,2010,Artist_635
Album_636,Hip Hop,1970,Artist_636
Album_637,Jazz,1998,Artist_637
Album_638,Rock,2008,Artist_638
Album_639,Jazz,2012,Artist_639
Album_640,Hip Hop,1962,Artist_640
Album_641,Electronic,1994,Artist_641
Album_642,Rock,1991,Artist_642
Album_643,Pop,2012,Artist_643
Album_644,Classical,1988,Artist_644
Album_645,Electronic,1965,Artist_645
Album_646,Pop,2018,Artist_646
Album_647,Electronic,1972,Artist_647
Album_648,Jazz,1993,Artist_648
Album_649,Pop,1964,Artist_649
Album_650,Rock,1980,Artist_650
Album_651,Rock,1985,Artist_651
Album_652,Rock,2017,Artist_652
Album_653,Jazz,1978,Artist_653
Album_654,Jazz,1982,Artist_654
Album_655,Classical,1995,Artist_655
Album_656,Jazz,1972,Artist_656
Album_657,Jazz,1971,Artist_657
Album_658,Electronic,2012,Artist_658
Album_659,Classical,2014,Artist_659
Album_660,Jazz,1988,Artist_660
Album_661,Jazz,1990,Artist_661
Album_662,Pop,2000,Artist_662
Album_663,Pop,1960,Artist_663
Album_664,Jazz,1982,Artist_664
Album_665,Classical,2005,Artist_665
Album_666,Rock,2002,Artist_666
Album_667,Classical,1968,Artist_667
Album_668,Electronic,2020,Artist_668
Album_669,Rock,1967,Artist_669
Album_670,Rock,1961,Artist_670
Album_671,Pop,1967,Artist_671
Album_672,Classical,1968,Artist_672
Album_673,Rock,2002,Artist_673
Album_674,Hip Hop,2019,Artist_674
Album_675,Electronic,1981,Artist_675
Album_676,Pop,1978,Artist_676
Album_677,Pop,1984,Artist_677
Album_678,Hip Hop,1974,Artist_678
Album_679,Classical,1989,Artist_679
Album_680,Rock,1988,Artist_680
Album_681,Classical,1986,Artist_681
Album_682,Electronic,2014,Artist_682
Album_683,Jazz,2008,Artist_683
Album_684,Hip Hop,2001,Artist_684
Album_685,Rock,2000,Artist_685
Album_686,Hip Hop,1967,Artist_686
Album_687,Electronic,1979,Artist_687
Album_688,Classical,2009,Artist_688
Album_689,Hip Hop,2018,Artist_689
Album_690,Rock,1982,Artist_690
Album_691,Rock,2000,Artist_691
Album_692,Hip Hop,1960,Artist_692
Album_693,Pop,1966,Artist_693
Album_694,Pop,2007,Artist_694
Album_695,Pop,1999,Artist_695
Album_696,Classical,1979,Artist_696
Album_697,Hip Hop,2008,Artist_697
Album_698,Electronic,2005,Artist_698
Album_699,Classical,1962,Artist_699
Album_700,Classical,1998,Artist_700
Album_701,Rock,1992,Artist_701
Album_702,Pop,1960,Artist_702
Album_703,Electronic,1978,Artist_703
Album_704,Rock,1985,Artist_704
Album_705,Hip Hop,2018,Artist_705
Album_706,Hip Hop,1976,Artist_706
Album_707,Classical,1973,Artist_707
Album_708,Jazz,1961,Artist_708
Album_709,Rock,1988,Artist_709
Album_710,Classical,1999,Artist_710
Album_711,Pop,1966,Artist_711
Album_712,Electronic,1998,Artist_712
Album_713,Electronic,1997,Artist_713
Album_714,Classical,1988,Artist_714
Album_715,Electronic,2014,Artist_715
Album_716,Electronic,1979,Artist_716
Album_717,Jazz,1979,Artist_717
Album_718,Electronic,2007,Artist_718
Album_719,Jazz,1992,Artist_719
Album_720,Hip Hop,1982,Artist_720
Album_721,Jazz,1996,Artist_721
Album_722,Classical,1986,Artist_722
Album_723,Rock,1973,Artist_723
Album_724,Pop,2007,Artist_724
Album_725,Jazz,1988,Artist_725
Album_726,Hip Hop,2022,Artist_726
Album_727,Classical,2020,Artist_727
Album_728,Jazz,2007,Artist_728
Album_729,Pop,2005,Artist_729
Album_730,Electronic,1969,Artist_730
Album_731,Hip Hop,2011,Artist_731
Album_732,Rock,1995,Artist_732
Album_733,Jazz,2011,Artist_733
Album_734,Electronic,1981,Artist_734
Album_735,Hip Hop,2007,Artist_735
Album_736,Classical,1977,Artist_736
Album_737,Electronic,1989,Artist_737
